Stamp,Name,Category,Contact,Address,Town,PostCode,Email,Telephone,Website,Twitter,Facebook,Monday Opening,Monday Closing,Tuesday Opening,Tuesday Closing,Wednesday Opening,Wednesday Closing,Thursday Opening,Thursday Closing,Friday Opening,Friday Closing,Saturday Opening,Saturday Closing,Sunday Opening,Sunday Closing,Services
"51.7452628230915 -3.38012145475774|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T07:56:38-04:00",Blue Inc,Shopping,Owen walbyoff,10-11 new market walk ,Merthyr Tydfil,Cf47 8el,simongrey553@googlemail.com,01685 375188,http://www.blueinc.co.uk,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,4pm,"Men's, ladies clothes, shoes, accessories "
"51.7454026401042 -3.37851079334773|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T09:41:51-04:00",Ty hafan charity shop ,Shopping,Beth rosser,56 high street,Merthyr Tydfil,Cf47 8de,,01685 377566,http://www.tyhafan.org.uk,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Clothes, toys, bric a brac, CDs, volunteer workers, money goes to charity "
"51.7457540054093 -3.37989015743658|Wheatsheaf Lane, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T09:16:34-04:00",Travel house ,Services,Anne murphy ,8 Victoria street ,Merthyr Tydfil,Cf47 8ed,merthyr@travelhouse.co.uk,01685 386333,,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Holidays, foreign currency, car hire, travel insurance, car parking "
"51.7451227167489 -3.38019553994376|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T07:00:10-04:00",Wilkinsons,Shopping,Paul euheamue,"New market street, st Tydfil shopping centre ",Merthyr Tydfil,Cf47 8el,,01685 384410,http://www.wilki.com,@,Yes,8am,6pm,8am,6pm,8am,6pm,8am,6pm,8am,6pm,8am,6pm,10am,4pm,"Cleaning products, food, homeware, car accessories, beauty products "
"51.7453453737829 -3.37891022036337|Market Square, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T08:22:54-04:00",F hinds ltd,Shopping,Gareth lynhan,10 market square ,Merthyr Tydfil,Cf47 8by,,01685 723882,http://www.fhinds.co.uk,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Jewellery, collectables, clocks, repairs, gold for cash, ornaments"
"51.74528001115 -3.37929027704406|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T08:05:37-04:00",Iceland ,Shopping,Trudy Edwards,15 graham way ,Merthyr Tydfil,,,01685 379800,http://www.iceland.co.uk,@,No,9am,6pm,9am,6pm,9am,6pm,9am,6pm,9am,6pm,9am,6pm,10am,4pm,"Grocery, frozen, chilled, produce foods "
"51.7446826042715 -3.37995118736842|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T06:48:37-04:00",Bon marche,Shopping,Lynne thomas,Unit 8 graham way,Merthyr Tydfil,Cf47 8eg,,01685 723947,http://www.bonmache.co.uk,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Ladies fashion sizes XS-24, David Emmanuel fashion and underwear, shoes, nightwear, lingerie, bra fitting service "
"51.7456367357266 -3.37938522547311|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T07:26:13-04:00",Co operative pharmacy ,Shopping,Elizabeth thomas ,18 new market walk,Merthyr Tydfil,Cf47 8el,hc200377@co-operative.coop,01685 359298,http://www.cooperativepharmacy.com,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Prescriptions, stop smoking service, contraceptive advice, disposal of unwanted medication, travel health advice "
"51.7452693812154 -3.37891887554502|3 Graham Way, Merthyr Tydfil CF47 8EG, UK|GPS|2013-09-04T06:26:13-04:00",Bush healthcare,Shopping,Graham street,,Merthyr Tydfil,Cf47 8by,,01685 388226,http://www.bushhealthcareltd.co.uk,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Aids for disabilities, shoes, walking sticks, electric scooters, shower and lift fittings, daily living aids "
"51.7450028380849 -3.37829917007375|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T05:41:54-04:00",Costcutters,Shopping,Mr Singh ,46 high street,Merthyr Tydfil,Cf47 8de,,07779 350414,,@,No,8am,6pm,8am,6pm,8am,6pm,8am,6pm,8am,6pm,8am,6pm,,,"Newspapers, tobacco, cigarettes, alcohol, phone accessories, alcohol, soft drinks, confectionery"
"51.7451709972379 -3.37733787676877|John Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T09:55:02-04:00",Trenchers,Eating and Drinking,Cliff Roberson,Unit 1 beacons place,Merthyr Tydfil,Cf47 0ae,,,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Coffee, teas, cakes, cold drinks, snacks, fruit "
"51.7443305572537 -3.3781204867969|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T06:14:43-04:00",ASA Fashions,Shopping,Mohammed Akram,34-35 high street,Merthyr Tydfil,Cf47 8de,,01685 722422,http://www.fantasiaboutique.co.uk,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Ladies, children clothing, handbags, costume jewellery, purses "
"51.7446775957171 -3.37833875175011|133 High Street, Merthyr Tydfil CF47 8DN, UK|GPS|2013-09-04T05:58:41-04:00",Phones 4 U,Shopping,Lauren smith,43 high street,Merthyr Tydfil,Cf47 8DE,,01685 385742,http://www.phones4u.co.uk,@,No,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,5pm,9am,5pm,,,"Phones, broadband, phone contracts, accessories, pay as you go handsets, repairs for handsets bought from store"
"51.7443803559276 -3.37826422047536|139 High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T10:01:00-04:00",Sunflowers restaurant ,Eating and Drinking,Mr irshad,33 high street,Merthyr Tydfil,Cf47 8de,,01685 373918,,@,No,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,5pm,,,"Chips, fish, sausages, soft drinks, pies"
"51.7455524437783 -3.37826737938969|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T05:30:25-04:00",Brighthouse,Shopping,Marc smith,126 high street,Merthyr Tydfil,Cf47 8bt,,01685 379964,http://www.brighthouse.co.uk,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Furniture, electricals, phones, laptops, tablets"
"51.7459432618833 -3.3795526080626|9A Wheatsheaf Lane, Merthyr Tydfil CF47 8AY, UK|GPS|2013-09-04T09:18:39-04:00",Sun above ,Services,Nicola evans ,27 victoria street,Merthyr Tydfil,Cf47 8bw,,01685 373047,,@,No,9am,9pm,9am,9pm,9am,9pm,9am,9pm,9am,9pm,9am,7pm,,,"Sunbeds, lie down, stand ups"
"51.7445713799462 -3.37838047126685|133 High Street, Merthyr Tydfil CF47 8DN, UK|GPS|2013-09-04T06:02:16-04:00",Cafe n joy,Eating and Drinking,Carianne mckendley,,Merthyr Tydfil,,cazmckendley@hotmail.com,,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Hot, cold drinks, snacks, cakes "
"51.7454303515329 -3.37835650868733|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T05:35:48-04:00",W H Smiths,Shopping,Becky cooper,Market square,Merthyr Tydfil,Cf47 8by,,01685 373529,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Books, stationary, newspapers, magazines, book ordering system, lottery, cards, confectionary "
"51.7453587100083 -3.37832774714701|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T08:46:12-04:00",Santander,Services,Kate Davey,15 market square,Merthyr Tydfil,,,0845 745745,http://www.santander.co.uk,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,12pm,,,"Banking, mortgages, loans, insurance "
"51.7455035055808 -3.37887394996879|Market Square, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T08:42:00-04:00",Halifax,Services,Jane clement ,13-14 market square ,Merthyr Tydfil,Cf47 8by,,01685 303304,http://www.halifax.co.uk,@,No,9am,5pm,9am,5pm,10am,5pm,9am,5pm,9am,5pm,9am,1pm,,,"Banking, savings, mortgages, protection, lending "
"51.7441232636092 -3.3783568045469|Swan Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T09:55:30-04:00",Taste of enterprise,Services,,32 High street,Merthyr Tydfil,Cf47 8de,tasteofenterprise@centreforbusiness.co.uk,01685 377141,http://www.tasteofenterprise.co.uk,@,Yes,,,9am,4pm,9am,4pm,9am,4pm,9am,4pm,,,,,"Business support, test raising opportunities"
"51.7444965734113 -3.37818450157245|Service Yard D, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T09:30:34-04:00",Ziomek polish shop,Shopping,,137 high street,Merthyr Tydfil,Cf47 8DN,,7837396072,,@,No,9am,7pm,9am,7pm,9am,7pm,9am,7pm,9am,7pm,9am,7pm,10am,4pm,"Polish food, drinks"
"51.7459432618833 -3.3795526080626|Victoria Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T09:18:39-04:00",A cut above ,Services,Cheryl bunt,27a Victoria street,Merthyr Tydfil,Cf47 8bw,,01685 373047,,@,No,,,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Hairdressing, barbering, children's hairdressing "
"51.7460374699868 -3.37834307468881|John Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T09:21:19-04:00",Case up phone shop,Shopping,Shahid javed,134 high street ,Merthyr Tydfil,Cf47 8dn,,,,@,No,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,5pm,,,"Sell phone cases, chargers, batteries, repairs, tablet cases"
"51.7451133046418 -3.37916264417239|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T08:09:40-04:00",Holland & Barrett,Shopping,Chris jones,13 graham way,Merthyr Tydfil,,,01685 382086,http://www.hollandandbarrett.co.uk,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,4pm,"Dried fruits, vitamins, herbal supplements, sports supplements, organic toiletries "
"51.744823737777 -3.3782684049294|Service Yard D, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T09:02:24-04:00",O2,Shopping,Lee grabham,129 high street,Merthyr Tydfil,Cf47 8dn,lee.grabham@retail.o2.com,7894574427,http://www.o2.co.uk/shop,@,No,10am,5pm,10am,5pm,10am,5pm,10am,5pm,9am,10am,9am,5pm,,,"Retail store, sell mobile phones, repairs, mobile broadband, tablets, SME"
"51.7448707059841 -3.37828836832336|62 High Street, Merthyr Tydfil CF47, UK|GPS|2013-09-03T09:09:24-04:00",Shoe zone limited,Shopping,Vicky mantle,131 high street,Merthyr Tydfil,Cf47 8dn,,01685 375723,http://www.shoezone.com,@shoezone ,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Women's, men's, children's shoes, bags, shoe accessories "
"51.745097738573 -3.37960329185269|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T08:02:03-04:00",Trespass ,Shopping,Natalie Davies ,"Unit 11 graham way, st Tydfils shopping centre ",Merthyr Tydfil,Cf47 8eg,,01685 382514,http://www.trespass.co.uk,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,11am,3pm,"Ski range, accessories, rucksacks, walking boots, gloves, outdoor wear"
"51.7452548094204 -3.37749349114432|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T08:17:56-04:00",Principality building society,Services,Joanne silcox,Unit 11 beacons place,Merthyr Tydfil,Cf47 8ed,joanne.silcox@principality.co.uk,01685 385421,http://www.principality.co.uk,@,No,9am,5pm,9am,5pm,10am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Investments, mortgages, insurances, financial planning services, savings accounts "
"51.7455192122013 -3.38017679233954|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T07:44:26-04:00",Bernstein brothers,Shopping,Denise Davies ,16 new market walk,Merthyr Tydfil,Cf47 8el,,01685 722639,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Ready made curtains, cut nets, friendly advice, material, dress lining, voils "
"51.7452054654431 -3.38000885005432|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T07:10:44-04:00",Boots,Shopping,Rachel Rowlands ,Unit 3 new market walk ,Merthyr Tydfil,,,01685 723488,http://www.boots.com,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Medical, beauty, baby"
"51.7448824710283 -3.37849080244908|Service Yard D, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T08:52:06-04:00",Cigg-e,Services,Leigh whellans,49 high street,Merthyr Tydfil,Cf47 8de,,01685 389426,http://www.cigg-e.co.uk,@Cigg-e LIVE,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"An alternative to smoking tobacco, free consultations "
"51.7450867885915 -3.37891838883075|Service Yard D, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T06:39:08-04:00",Thomson,Services,Andrew jeans,6 graham way,Merthyr Tydfil,Cf47 8eg,merthyrtdfilgw@thomson-shop.co.uk,0844 561 5878,http://www.thomson.co.uk,@,No,9am,5pm,10am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,4pm,"Package holidays, flights, cruises, ski holidays, insurance, uk breaks, coach holidays, foreign exchange "
"51.7454056857567 -3.3785313030502|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T08:36:01-04:00",EE,Shopping,Emma Williams,51 Hugh street,Merthyr Tydfil,Cf47 8de,,01685 726672,http://www.EE.co.uk,@,No,10am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,4pm,"Mobile communication, home broadband, 4g services, customer services, repairs "
"51.7454172041124 -3.37892686181561|Market Square, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T06:31:22-04:00",Get connected,Shopping,John harris, 1 graham way ,Merthyr Tydfil,Cf47 8eg,merthyr@get-connected.com,01685 373338,http://www.get-connected.com,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Mobile phone contracts, pay as you go phones, upgrades, phone accessories"
"51.7458823605304 -3.37876138738773|Victoria Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T06:55:10-04:00",Tenovus,Shopping,Jane nicholas,123 high street,Merthyr Tydfil,,,01685 389379,http://www.tenovus.co.uk,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Counselling, volunteer work, craft class, welfare officers, sell clothes books etc, cancer charity"
"51.7457538230584 -3.37802285580373|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T07:06:08-04:00",Stardust amusements,Things To Do,Gwyneth Powell and Andrea Payne,60 high street,Merthyr Tydfil,,,01685 386262,,@,No,9am,7pm,9am,7pm,9am,7pm,9am,7pm,9am,7pm,9am,7pm,,,"Amusement machines, snack bar, free tea, coffee and sandwiches for those who use machines"
"51.7444279414071 -3.37809828306212|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T06:09:20-04:00",Peacocks,Shopping,Rebecca evans,37 high street,Merthyr Tydfil,Cf48 4de,,01685 373789,http://www.peacocks.co.uk,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,4pm,"Ladies, men's, children's clothing, shoes, handbags, jewellery, underwear, nightwear, beauty products"
"51.7460324873287 -3.37805848987384|John Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T05:22:43-04:00",G and M Viazzani ltd,Eating and Drinking,Mario Viazzani,1 John street,Merthyr Tydfil,Cf47 0ae,,01685 722695,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Cigarrettes, tobacco, confectionery, lottery, cafe serving hot and cold drinks and snacks"
"51.7443090681936 -3.37818061904097|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T09:46:00-04:00",Salvation army charity shop ,Shopping,Lieutenant Andrew and Lorraine warrener ,139a High street,Merthyr Tydfil,,,01685 722232,,@,No,10am,4pm,10am,4pm,10am,4pm,10am,4pm,10am,4pm,10am,4pm,,,"Sell clothes, books, bric a brac, all donations to charity, volunteer staff"
"51.7470637496042 -3.37820826484488|Castle Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T05:13:49-04:00",Merthyr Tydfil council library,Things To Do,Jane sellwood,High street,Merthyr Tydfil,Cf47 8af,libraries@merthyr.gov.uk,01685 353480,http://www.merthyr.gov.uk,@,Yes,9am,6pm,9am,7pm,9am,6pm,9am,6pm,9am,6pm,9am,2pm,,,"Free computer access, family history, teenage sections, book reading clubs, home reading services, mobile libraries, study areas, job club, competitions, story time for children, computer classes, polish to English classes"
"51.7465244586019 -3.3778602008543|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T06:25:24-04:00",The beauty box,Services,Jane powell,117 high street,Merthyr Tydfil,Cf47 8ap,,01685 383637,,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,7pm,9am,7pm,9am,4pm,,,"Waxing, tanning, nails, facials, massage "
"51.7476160018318 -3.37823382519025|Castle Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T06:01:01-04:00",Wetherspoons,Eating and Drinking,Wetherspoon house,102-103 high street,Merthyr Tydfil,Cf47 8ap,p1258@jdwetherspoon.co.uk,01685 385786,,@,No,8am,12am,8am,12am,8am,12am,8am,12am,8am,12am,8am,12am,8am,11pm,"Breakfasts, lunch, evening meals, snacks, soft drinks, alcoholic drinks"
"51.7454281351816 -3.37842800319887|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T09:24:22-04:00",Carphone warehouse ,Shopping,Liam mcgrogan,135 high street,Merthyr Tydfil,Cf47 8dn,,01685 385644,http://www.carphonewarehouse.com,@,Yes,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,5pm,,,"Sell phones, home broadband, TV, phone accessories, phone repairs "
"51.7445096124663 -3.3782957167917|Service Yard D, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T09:34:50-04:00",Merthyr optical centre,Services,Mr Shiraz medghi,138a high street,Merthyr Tydfil,Cf47 8dn,,01685 388384,http://www.optical-centre.co.uk,@merthyroptical,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,4pm,,,"Family eye tests, contact lenses, spectacles"
"51.7448248717193 -3.37845376815589|Service Yard D, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T09:11:35-04:00",Phaze,Shopping,Asif Ali ,132 high street,Merthyr Tydfil,Cf47 8dn,,7970155050,,@,No,9am,9am,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Ladies clothing, shoes, bags, costume jewellery, accessories "
"51.7449504661046 -3.37834109578871|139 High Street, Merthyr Tydfil CF47, UK|GPS|2013-09-03T09:06:03-04:00",Sweet occasions ltd,Eating and Drinking,Paul evans,130 high street,Merthyr Tydfil,Cf47 8dn,sweetoccasionsltd@yahoo.co.uk,7517372421,http://www.sweetoccasionsltd.co.uk,@,Yes,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,5pm,10am,5pm,,,"Traditional sweets, sweet carts available for hiring, balloons, new born baby gifts "
Unknown location,Tesco,Shopping,Jon Gilbert ,Tram roadside north,Merthyr Tydfil,Cf47 0ap,,01685 788807,http://www.tesco.com,@merthyrtesco,No,12am,12am,12am,12am,12am,12am,12am,12am,12am,12am,12am,12am,10am,4pm,"Electrical, clothing, food, drink, cafe, 2 hour free parking"
"51.7462202001441 -3.37813101844674|John Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T07:53:47-04:00",Wok u like,Eating and Drinking,Yu llang Chen ,120 high street,Merthyr Tydfil,Cf47 8bl,,01685 388828,,@,No,12pm,11pm,12pm,11pm,12pm,11pm,12pm,11pm,12pm,12am,12pm,12am,5pm,11pm,"Asian food takeaway, lunch time specials, soft drinks"
"51.7453012143133 -3.3781618778364|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T08:08:23-04:00",Merthyr heel and key bar,Services,Warren croot,Unit 2a beacons place,Merthyr Tydfil,Cf47 0ae,,01685 388034,http://www.welshpridevapours.co.uk,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,11am,3pm,"Key cutting, engraving, e cigarettes, watches, umbrellas, watch batteries"
Unknown location,The fragrance shop,Shopping,Karen James,Unit 7 beacons place,Merthyr Tydfil,Cf47 8ed,,01685 388314,http://www.thefragranceshop.co.uk,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,Main retailer of men and womens fragrance 
"51.745459583958 -3.37757643140845|Masonic Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T08:01:10-04:00",The card shop,Shopping,Mandy jones,Unit 4 beacons place,Merthyr Tydfil,Cf47 8df,,,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Cards for any occasion, gift bags, photo frames, glass, engravings"
"51.7458002789165 -3.37829589948925|Market Square, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T07:01:29-04:00",Pound stop,Shopping,Craig Griffiths,125a high street ,Merthyr Tydfil,Cf47 8bt,,,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Household appliances, cleaning products, toys, crisps, sweets, drinks"
"51.746576526806 -3.37817828760571|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T06:28:25-04:00",Bidmead cook and Williams,Services,Gavin Williams ,118 high street,Merthyr Tydfil,Cf47 8ap,merthyrtydfil@bidmeadcook.co.uk,01685 388106,http://www.bidmeadcook.co.uk,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,3pm,9am,5pm,"Sales and Lettings, financial services "
"51.7454592182719 -3.37854059388952|Market Square, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T07:13:20-04:00",Specsavers,Services,Tracy comley,126 Hugh street,Merthyr Tydfil,Cf47 8bt,mgr.merthyr@st.uk.specsavers.com,01685 371201,http://www.specsavers.co.uk,@,No,9am,6pm,9am,5pm,10am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,4pm,"Sight tests, contact lenses, low vision assessments, EHEW's"
Unknown location,Cash generator ,Services,Aga jascholar,67 high street,Merthyr Tydfil,Cf47 8ae,,01685 383810,http://www.cashgenerator.co.uk,@,No,9am,5pm,10am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Pay day loans, buying and selling, buy back option"
"51.7458912181412 -3.37944001206326|Victoria Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T09:28:33-04:00",Options card and gift ,Shopping,Anthony o keefe,28 Victoria street,Merthyr Tydfil,Cf47 8bw,a4aok@yahoo.co.uk,01685 383909,http://www.optionscardandgift.co.uk,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Cards, photo frames, floral arrangements, dried flowers, gifts"
"51.7452839543403 -3.37916000971766|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T08:13:56-04:00",H Samuel,Shopping,Phil carpenter,5 graham way ,Merthyr Tydfil,Cf47 8eg,,01685 386683,http://www.hsamuel.co.uk,@,Yes,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Jewellery, battery exchange, jewellery repairs, watches, engagement rings, weddings rings, Swarovski, gifts for every occasion "
"51.7454175670087 -3.37890698588113|Market Square, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T08:50:05-04:00",Rugby heaven,Shopping,Chris Paul ,16 market square ,Merthyr Tydfil,Cf47 8by,rugbyheavenmerthyr@gmail.com,01685 387800,http://www.rugbyheaven.co.uk,@,Yes,10am,5pm,10am,5pm,10am,5pm,10am,10am,10am,5pm,10am,5pm,,,"Team wear, replica kit, playing, training equipment, boots and more "
"51.7455099129043 -3.38017118830131|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T07:49:59-04:00",Marie curie cancer care ,Shopping,Vanessa voisey,15 new market walk ,Merthyr Tydfil,Cf47 8el,,01685 379313,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,4pm,"Clothes, bric a brac, accessories, books, Christmas cards"
"51.7448344519491 -3.37991909205154|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T06:54:35-04:00",New look,Shopping,Tina jones,9 graham way,Merthyr Tydfil,Cf47 8eg,,01685 370955,http://www.newlook.com,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,12pm,4pm,"Footwear, inspire range, bags, accessories, ladies clothing "
"51.7455318545738 -3.38041295947428|Service Yard B, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T07:22:08-04:00",Poundland ,Shopping,Claire evans ,"Unit 1 new market walk, st Tydfils shopping centre ",Merthyr Tydfil,,,01685 379024,,@,No,8am,5pm,8am,5pm,8am,5pm,8am,5pm,8am,5pm,8am,5pm,10am,4pm,"Cleaning, confectionery, pets, homeward, DIY, clothing"
"51.744135659918 -3.37827176398801|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T06:18:37-04:00",The barber shop,Services,Maria Rees ,140 high street,Merthyr Tydfil,Cf47 8dp,,01685 722836,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,12pm,"Ladies, gents, children's hairdressing, barbering, shaving "
"51.7470728788585 -3.37768781757412|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-03T06:10:45-04:00",The Gwyn George partnership,Services,Gwyn George partnership,110 high street,Merthyr Tydfil,Cf47 8ap,mail@ggplaw.co.uk,01685 377035,,@,No,9am,9am,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,"Commercial property, residential property, wills, accident claims, family, children, crime"
"51.7464023459146 -3.37832509060846|56 Glebeland Street, Merthyr Tydfil, Mid Glamorgan CF47 8AT, UK|GPS|2013-09-03T06:33:28-04:00",Liberty,Shopping,Taz sardar,68 high street,Merthyr Tydfil,Cf47 8ae,,01685 383535,http://www.foursquareliving.co.uk,@,Yes,10pm,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,,,"Beauty, clothing, home accessories "
"51.7449006861265 -3.37829831833837|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T05:45:38-04:00",B & M bargains,Shopping,,,Merthyr Tydfil,,,01685 350115,,@,No,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,9am,5pm,10am,4pm,"Food, homeward, gardening, toys, seasonal decorations, beauty products, confectionery"
"51.7463852979055 -3.37809031482384|High Street, Merthyr Tydfil, Wales, GB|GPS|2013-09-04T05:17:35-04:00",The coffee cup ,Eating and Drinking,Gemma bolitho,67a high street,Merthyr Tydfil,Cf47 8ae,thecoffeecup@btconnect.com,01685 377212,,@thecoffeecup,Yes,9am,4pm,9am,4pm,9am,4pm,9am,4pm,9am,4pm,9am,4pm,,,"Coffees, teas, snacks "
